Categoria_Participante,Contribuicao_Link,Contribuicoes_N/A,Contribuicoes_N/C,Contribuicoes_N/D,Contribuicoes_Nao,Contribuicoes_Numero,Contribuicoes_Parcialmente,Contribuicoes_Sim,Estatal,ID_Interno,Link Resultado,Link_Anexo_1,Link_Anexo_2,Link_Anexo_3,Link_Anexo_4,PF_Vinculado_Ocupacao,Personalidade,Pontos_de_Atencao_para_o_Regulacao_em_Numeros_Contribuicoes,Quem,Sub_sub_subcategoria_Participante,Sub_subcategoria_Participante,Subcategoria_Participante
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,THAIS APARECIDA JORDAO DOS SANTOS,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CARLOS ANDRÉ ZUPPO,,,Indivíduo interessado
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,17.0,,17,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,JORGE LUIZ DA SILVA CORREIA (ENGENHEIRO - GERENTE DE CONSULTORIA REGULATÓRIA),PJ,,TELEMAR NORTE LESTE S.A. (OI),,,Home Video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,VANESSA OLIVEIRA COMINALI,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,JAMES DE ARAUJO,,,Indivíduo interessado
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,25.0,,25,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,JANE PAULA DE OLIVEIRA (ANALISTA REGULATÓRIO),PJ,,CTBC,,,Home Video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,10.0,,10,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,FLORIANO DE AZEVEDO MARQUES NETO (SÓCIO),PJ,,"MANESCO, RAMIRES, PEREZ, AZEVEDO MARQUES - SOCIEDADE DE ADVOGADOS",,,Escritório de Advocacia
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,RENATO A. DE SOUZA (AGENTE DE ATENDIMENTO),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física.",CCR VIAOESTE,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,MAURICIO MARTINEZ PEREIRA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,EDWALDO GAIA VALENTE,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,3.0,,3,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ROSANE NASCIMENTO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CARLOS HENRIQUE BARROSO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CLOVIS (sem sobrenome),,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,17.0,,17,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,LUÍS FERNANDO DE OLIVEIRA (POLICIAL MILITAR DA RESERVA),PF,,POLICIA MILITAR,,,Indivíduo interessado
Ator Governamental,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,8.0,,8,,,Sim,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ALDEN CARIBÉ DE SOUSA (SERVIDOR PÚBLICO),PJ,,SEAE/MF (Secretaria de Acompanhamento Econômico do Ministério da Fazenda),,Executivo Federal,Poder Executivo
Outros,,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,GUILHERME BOECHAT GOMIDE,,,Indivíduo interessado
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,19.0,,19,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,Se identifica pela PJ.,PJ,,EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES S.A. - EMBRATEL,,,Home Video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,12.0,,12,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,CHRISTIANA COSTA DE MENEZES (PUBLICITÁRIA),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",GRUPO EUGENIO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,GERALDO DUARTE DE SOUZA JUNIOR,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,7.0,,7,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,CAROL ELIZABETH CONWAY (DIRETORA),PJ,,ABRANET (Associação Brasileira de Internet),,,Provedor de Internet
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,4.0,,4,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,MARCOS JOSÉ MANHÃES MARINS (DIRETOR E ROTEIRISTA CINEMATOGRÁFICO),PJ,,FIBRA CINE VÍDEO,,,Produtora
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,5.0,,5,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,Nesse caso ele se autodenomina usuário.,MARCOS TAVOLAR,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,103.0,,103,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,LARISSA SOUZA TEIXEIRA (ASSESSORA PARLAMENTAR ),PJ,A representante da ABTA é uma assessora parlamentar.,ABTA (ASSOCIAÇÃO BRASILEIRA DE TELEVISÃO POR ASSINATURA),,Home Video,Indústria Audiovisual
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,MARIA CLARA SENA FRANQUEIRA,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,13.0,,13,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,MARIANA GALVÃO FILIZOLA (DIRETORA EXECUTIVA),PJ,,ASSOCIAÇÃO NEOTV,,Home Video,Indústria Audiovisual
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,9.0,,9,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,DÉBORA IVANOV (PRODUTORA),PJ,,SIAESP (SINDICATO DA INDUSTRIA AUDIOVISUAL DO ESTADO DE SP),,,Indústria Audiovisual
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,PAULO FERNANDO DE LIMA JÚNIOR (AUXILIAR DE COMÉRCIO EXTERIOR),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física.",CACEX COMISSÁRIA ADUANEIRA E COMÉRCIO LTDA.,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,FLÁVIO RICARDO MACIEL BRUNNER,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,NATASHA T.M. SOLDERA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,9.0,,9,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ALÉCIO OLIVEIRA DE FIGUEIREDO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,8.0,,8,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física.",MARILENE CAPELAO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,JAHYR CUNHA SPONHOLZ,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,6.0,,6,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,RENATA VICENTINI MIELLI (JORNALISTA),PJ,,CENTRO DE ESTUDOS DA MÍDIA ALTERNATIVA BARÃO DE ITARARÉ,,,Instituição de ensino e/ou pesquisa
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,6.0,,6,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ROSANE BERTOTTI (SECRETÁRIA NACIONAL DE COMUNICAÇÃO),PJ,,CUT (CENTRAL ÚNICA DOS TRABALHADORES),,,Outros
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,37.0,,37,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,CLAUDIA REGINA AMARAL GONZALES (ADVOGADA),PJ,,NET SERVIÇOS DE COMUNICAÇÃO S.A.,,,Home video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,EDUARDO MASSA (ADVOGADO),PF,"Nesse caso a pessoa é ADVOGADO da empresa OI. contudo, há outra pessoa contribuindo em nome da OI, utilizando o nome inteiro da empresa, contribuindo diversas vezes e claramente em nome da empreas. Nesse caso ele só contribui uma vez e não fica claro que está representando a empresa, ainda que seja advogado da mesma.",OI,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,10.0,,10,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,SERGIO LUIZ DA COSTA JUNIOR,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,9.0,,9,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,PATRÍCIA COUTINHO DE OLIVEIRA SALES (ADVOGADA),PJ,,CESNIK QUINTINO & SALINAS ADVOGADOS,,,Escritório de Advocacia
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CAIO MENEZES,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,LISZT FAULSTICH DA VEIGA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,4.0,,4,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,GUSTAVO DE BIASI MARTINS (ENGENHEIRO DE SISTEMAS),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",HEWLETT-PACKARD,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,GUSTAVO ERTHAL JUNIOR,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,12.0,,12,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,FREDERICO PENNA LEAL (PROCURADOR FEDERAL ),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",UNIVERSIDADE FEDERAL DE VIÇOSA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,SILVIA FREUND,,,Indivíduo interessado
Agente econômico regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,5.0,,5,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,KARLA DANIELE DOMINGUES SENA (ASSESSORA),PJ,,RECORD,,,Home video
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,5.0,,5,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,OLAVO MARQUES DE AZEVEDO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CLEIDE RIBEIRO SATIRO,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,JARDEL PRATA FERREIRA,,,Indivíduo interessado
Agente econômico não regulado,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,4.0,,4,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,VALTER VICENTE SALES FILHO (PUBLICITÁRIO),PJ,,Sesc (Serviço Social do Comércio),,,
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,5.0,,5,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,CEZAR MIGLIORIN,,,Indivíduo interessado
Profissional,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,3.0,,3,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,ANDRÉ MARRON GAVAZZA,,,Cineasta
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,FABIO RUDOLFO BAEUMLE,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,6.0,,6,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,PAULO DANTAS,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,7.0,,7,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,JOÃO CALDEIRA BRANT MONTEIRO DE CASTRO (RADIALISTA),PJ,"O INTERVOZES – Coletivo Brasil de Comunicação Social é uma associação civil, de direito privado, sem fins lucrativos e econômicos que luta pelo Direito Humano à Comunicação. É constituído por número ilimitado de associados, hoje espalhados em 14 unidades da Federação, que compartilhem os objetivos e princípios da associação. Os associados são distribuídos nas categorias de associados efetivos e associados colaboradores.",INTERVOZES - COLETIVO BRASIL DE COMUNICAÇÃO SOCIAL,,,Defesa de Direitos
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,THOMAS PIRAJA HANSEN,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,TEREZA TRAUTMAN,,,Indivíduo interessado
Entidade Representativa,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,16.0,,16,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,CÍCERO ARAGON (PRESIDENTE),PJ,,SINDICATO DA INDÚSTRIA AUDIOVISUAL DO RS,,,
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,ANTONIO CARLOS DE OLIVEIRA (COODENADOR DE QUALIDADE),PF,"Neste caso, ainda que faça referência à empresa em que trabalha, fica óbvio pela posição que ocupa e pelo teor da contribuição que ali está contribuindo como pessoa física/usuária.",VETOR C CONSULTORIA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,MATEUS MANOEL ALVES,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,MARCELO DE OLIVEIRA GONZAGA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,2.0,,2,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,MARIA LUCIA PEREIRA DE ALMEIDA,,,Indivíduo interessado
Outros,https://www.ancine.gov.br/sites/default/files/consultas-publicas/consolidacaoINgeral-final.pdf,,,1.0,,1,,,Não,ANCINE_2012__13,https://www.ancine.gov.br/sites/default/files/consultas-publicas/Consulta_Publica_em_Forma_de_Perguntas_sobre_regulamentacao_da_Lei_12.pdf,,,,,,PF,,RODOLFO SILVA CAMPOS,,,Indivíduo interessado
